"Date","OUTFLOW","OMR","X2_prev","X2_current"
1921-11-30,4500,-8547.34040302437,80.06121,82.99984
1921-12-31,17496.1241610634,-5290.32258064516,82.99984,75.018074
1922-01-31,18968.3014816729,-4343.38709677419,75.018074,67.40167
1922-02-28,57917.965664419,-4550,67.40167,56.266884
1922-03-31,42509.5901839688,-3575,56.266884,57.161205
1922-04-30,31954.6581969107,-3995,57.161205,60.04897
1922-05-31,31753.0854554967,-3978.72375419946,60.04897,60.693115
1922-06-30,8943.99646140694,-4231.11848085269,60.693115,72.92207
1922-07-31,8244.12377929688,-9426.26882771444,72.92207,81.21411
1922-08-31,6189.16282148438,-9691.82349467049,81.21411,83.56504
1922-09-30,11250,-7480.06589560141,83.56504,79.9823
1922-10-31,9062.5,-5015.10565941597,79.9823,79.91457
1922-11-30,7573.69332651824,-8614.08130392169,79.91457,82.9196
1922-12-31,42286.2528310119,-5290.32258064516,82.9196,61.215794
1923-01-31,33412.5175040498,-4343.38709677419,61.215794,59.787
1923-02-28,19030.6347773711,-3741.07142857143,59.787,64.91859
1923-03-31,12120.023964041,-3500,64.91859,71.974236
1923-04-30,23968.0129932339,-3066.23707100863,71.974236,66.22488
1923-05-31,12124.193,-3343.41935354598,66.22488,71.74308
1923-06-30,6718.75,-4475,71.74308,81.00031
1923-07-31,6935.82861849173,-9402.54280505964,81.00031,83.942856
1923-08-31,4000,-9374.86490618398,83.942856,87.055504
1923-09-30,4523.32943724763,-7436.31242563066,87.055504,89.70424
1923-10-31,4000.73190304963,-5973.9211807901,89.70424,91.17477
1923-11-30,6048.61710686122,-5121.93923677796,91.17477,91.03113
1923-12-31,7591.93243260442,-2497.42656148296,91.03113,88.12373
1924-01-31,9598.98363483386,-4775,88.12373,84.34719
1924-02-29,13317.3600597528,-4625,84.34719,79.015656
1924-03-31,11400,-169.631135990916,79.015656,76.15986
1924-04-30,7031.25,-1344.32239034824,76.15986,81.01657
1924-05-31,4354.58064516774,-1636.02651043129,81.01657,87.80845
1924-06-30,4000,-1270.19066903964,87.80845,89.79694
1924-07-31,4000,-2265.90015931914,89.79694,91.83359
1924-08-31,3000,-1658.12888254236,91.83359,92.73519
1924-09-30,3000,-3300.06953516263,92.73519,93.29752
1924-10-31,3850.14967133136,-4789.57636595294,93.29752,93.384796
1924-11-30,5583.820569114,-2763.38471980425,93.384796,92.40687
1924-12-31,9275.02652616953,-3551.52818485325,92.40687,87.32773
1925-01-31,8245.71121467782,-4625,87.32773,84.492805
1925-02-28,77269.6981667774,-4035.71428571429,84.492805,56.11112
1925-03-31,17971.773,-3905,56.11112,64.29037
1925-04-30,25222.9117374164,-2581.71728571945,64.29037,63.809513
1925-05-31,13341.1273414514,-2456.043682365,63.809513,70.085915
1925-06-30,6779.1665,-4400,70.085915,80.3585
1925-07-31,5000,-6994.51875005148,80.3585,85.38426
1925-08-31,3500,-4056.89618666279,85.38426,88.72051
1925-09-30,3119.18284522734,-7213.71483011539,88.72051,92.13044
1925-10-31,5377.94741936286,-2324.65580749819,92.13044,91.09808
1925-11-30,4809.1740670308,-5030.67071114647,91.09808,91.47856
1925-12-31,8846.92584444923,-938.066494919955,91.47856,87.96896
1926-01-31,15222.6632271414,-4055,87.96896,76.89131
1926-02-28,44463.6047153142,-3808.03571428571,76.89131,59.005196
1926-03-31,17663.307,-3804.91759751916,59.005196,65.20139
1926-04-30,20828.70086404,-2411.56196405256,65.20139,66.06789
1926-05-31,11265.322,-3221.79192381763,66.06789,73.2757
1926-06-30,7100,-4400,73.2757,81.28598
1926-07-31,5000,-4585.03407954151,81.28598,85.35791
1926-08-31,3500,-2555.04841159413,85.35791,89.03517
1926-09-30,3000,-5242.78371021682,89.03517,92.41999
1926-10-31,4075.59214668528,-2953.45004630025,92.41999,92.716736
1926-11-30,16253.1909281581,-8518.33125718157,92.716736,80.0931
1926-12-31,12898.6806050918,-5290.32258064516,80.0931,73.99712
1927-01-31,37774.0385731704,-3875.96774193548,73.99712,61.026905
1927-02-28,169796.90179919,-4175,61.026905,51.613728
1927-03-31,50483.2883697195,-3575,51.613728,55.937172
1927-04-30,49273.5772022582,-3903.78312495277,55.937172,56.27831
1927-05-31,16399.193,-3980.28853502234,56.27831,66.26926
1927-06-30,6955.11024210962,-4505,66.26926,78.512
1927-07-31,9741.44735857467,-10395.0440131539,78.512,80.81562
1927-08-31,5651.2095,-10496.7434119207,80.81562,82.76284
1927-09-30,10937.5,-4389.73250528259,82.76284,80.06013
1927-10-31,7968.75,-5054.81724238677,80.06013,79.98951
1927-11-30,5548.64465341794,-9552.4455212586,79.98951,84.75842
1927-12-31,5326.94910332128,-9046.53754540668,84.75842,86.94575
1928-01-31,18229.0135768165,-3645.16129032258,86.94575,76.35662
1928-02-29,19474.9370370906,-4040.51724137931,76.35662,67.16419
1928-03-31,90808.0029449639,-3500,67.16419,54.152733
1928-04-30,30128.1770165634,-3137.65937601271,54.152733,60.03501
1928-05-31,12600.807,-3245.18770583472,60.03501,70.28569
1928-06-30,7694.89739461653,-4490,70.28569,79.59587
1928-07-31,10141.4227195694,-9129.69162560569,79.59587,80.24485
1928-08-31,5580.645,-11219.0604528956,80.24485,83.27124
1928-09-30,11406.25,-4626.54215585216,83.27124,80.01103
1928-10-31,8750,-2664.72090677028,80.01103,80.00307
1928-11-30,6259.57950179875,-8307.29988477001,80.00307,84.608475
1928-12-31,5024.93889615288,-7370.48430769431,84.608475,87.102776
1929-01-31,8417.43798332365,-4745,87.102776,86.43192
1929-02-28,15892.4714403044,-3580.35714285714,86.43192,78.46143
1929-03-31,11400,-2612.56096713707,78.46143,74.45632
1929-04-30,8138.3335,-1807.13800271816,74.45632,79.60791
1929-05-31,4270.19833468661,-2115.16945705427,79.60791,86.41427
1929-06-30,4000,-1455.91097616453,86.41427,89.567245
1929-07-31,4000,-2210.98318882735,89.567245,91.744125
1929-08-31,3000,-1887.7001418856,91.744125,92.830284
1929-09-30,3000,-3468.75910765865,92.830284,93.21144
1929-10-31,3000,-2109.66953201801,93.21144,94.20042
1929-11-30,4991.22604393913,-676.093831226641,94.20042,93.47554
1929-12-31,14939.7533140201,-5290.32258064516,93.47554,81.95903
1930-01-31,26974.0434527004,-4262.09677419355,81.95903,64.90504
1930-02-28,18290.178,-1748.73846887088,64.90504,65.96485
1930-03-31,28680.465613649,-3905,65.96485,62.46654
1930-04-30,12375,-2293.85265877255,62.46654,70.07971
1930-05-31,7337.57897683593,-2646.61015006157,70.07971,80.49241
1930-06-30,7100,-4400,80.49241,83.83285
1930-07-31,5000,-9577.72978689852,83.83285,86.0227
1930-08-31,3500,-4630.22054333049,86.0227,90.3158
1930-09-30,3000,-5727.61664625741,90.3158,92.52386
1930-10-31,4000,-2356.62920947809,92.52386,92.761765
1930-11-30,5620.39960231763,-3145.35498735493,92.761765,91.58662
1930-12-31,6565.81475926861,-159.907695733229,91.58662,89.96903
1931-01-31,10781.5621762753,-4055,89.96903,84.538925
1931-02-28,9622.321,-3148.97467909368,84.538925,82.15252
1931-03-31,7377.4194,-1745.61500326371,82.15252,82.37978
1931-04-30,7960,-1301.17542565224,82.37978,83.72023
1931-05-31,5419.65270352724,-1653.86796711609,83.72023,87.06714
1931-06-30,4000,-1930.68200291145,87.06714,89.13121
1931-07-31,4000,-3282.1314786881,89.13121,91.68468
1931-08-31,3002.26164742754,-2683.41057950776,91.68468,92.86694
1931-09-30,3000,-3273.03616057602,92.86694,93.388695
1931-10-31,3000,-1827.55350067871,93.388695,94.43224
1931-11-30,6771.30976558609,-609.237766666439,94.43224,91.668526
