"Date","OUTFLOW","OMR","X2_prev","X2_current"
1921-11-30,4500,-8576.64457017591,80.06121,82.99984
1921-12-31,17494.1877934038,-5290.32258064516,82.99984,75.01995
1922-01-31,18975.5303617502,-4343.38709677419,75.01995,67.39759
1922-02-28,57761.0966295831,-4550,67.39759,56.2847
1922-03-31,44838.8210845559,-1496.22643567422,56.2847,56.74812
1922-04-30,35171.1092061554,-3344.33090273476,56.74812,59.113747
1922-05-31,34209.5632311764,-3015.68929008888,59.113747,59.84296
1922-06-30,9132.58513762849,-4131.04772727466,59.84296,72.460335
1922-07-31,8402,-9434.15939403512,72.460335,80.97051
1922-08-31,6926.9033,-9086.40285290465,80.97051,82.82566
1922-09-30,10781.25,-8221.60538781119,82.82566,80.007164
1922-10-31,9218.75,-5107.15996172193,80.007164,79.96763
1922-11-30,7639.93476645112,-8614.072083428,79.96763,82.749565
1922-12-31,42432.3468590276,-5290.32258064516,82.749565,61.154617
1923-01-31,33404.3551628729,-4343.38709677419,61.154617,59.78476
1923-02-28,19026.9859792895,-3741.07142857143,59.78476,64.92088
1923-03-31,14555.7467390879,-1439.53828673966,64.92088,69.735374
1923-04-30,26886.1097683566,-2178.88286839551,69.735374,64.13803
1923-05-31,13136.0186272905,-3397.49743467026,64.13803,70.28456
1923-06-30,6093.75000000001,-4475,70.28456,80.966835
1923-07-31,7459.048392916,-9150.6103793278,80.966835,83.72691
1923-08-31,4000,-8810.24807775161,83.72691,86.62031
1923-09-30,4036.24290689497,-7310.37583949068,86.62031,89.248245
1923-10-31,4000,-5545.54358865954,89.248245,91.23414
1923-11-30,5800.23573130389,-4632.72115097076,91.23414,91.33094
1923-12-31,7460.17903226714,-2180.89816131187,91.33094,88.74132
1924-01-31,9645.26424291787,-4775,88.74132,84.310394
1924-02-29,13331.5169109157,-4625,84.310394,79.0674
1924-03-31,11525.8790322664,-227.91204366864,79.0674,76.02782
1924-04-30,7708.12781723925,-1343.23742521263,76.02782,80.323395
1924-05-31,4966.5290555713,-1676.93627036264,80.323395,86.551125
1924-06-30,4000,-1374.20517729593,86.551125,89.114174
1924-07-31,4000,-2916.79827572011,89.114174,91.52552
1924-08-31,3000,-2117.22430146652,91.52552,92.67955
