"Date","X2","Scenario","Month","Region","X2_original","salinity"
"1921-11-30",0.858426478093623,"NAA",11,"Confluence",83.32453,2.58060962339493
"1921-11-30",0.858426478093623,"NAA",11,"NE Suisun",83.32453,3.73069470422345
"1921-11-30",0.858426478093623,"NAA",11,"NW Suisun",83.32453,4.21437550804091
"1921-11-30",0.858426478093623,"NAA",11,"SE Suisun",83.32453,3.59867670203919
"1921-11-30",0.858426478093623,"NAA",11,"Suisun Marsh",83.32453,3.36499074824527
"1921-11-30",0.858426478093623,"NAA",11,"SW Suisun",83.32453,4.42909609700145
"1921-11-30",0.948763498038429,"D1641",11,"Confluence",84.32453,2.70445718191483
"1921-11-30",0.948763498038429,"D1641",11,"NE Suisun",84.32453,3.866197583095
"1921-11-30",0.948763498038429,"D1641",11,"NW Suisun",84.32453,4.33834828732033
"1921-11-30",0.948763498038429,"D1641",11,"SE Suisun",84.32453,3.73226538626186
"1921-11-30",0.948763498038429,"D1641",11,"Suisun Marsh",84.32453,3.45203787503581
"1921-11-30",0.948763498038429,"D1641",11,"SW Suisun",84.32453,4.526936618995
"1921-12-31",-0.0784518901404482,"NAA",12,"Confluence",72.953606,1.71877051182732
"1921-12-31",-0.0784518901404482,"NAA",12,"NE Suisun",72.953606,2.74797915109329
"1921-12-31",-0.0784518901404482,"NAA",12,"NW Suisun",72.953606,3.35123774149314
"1921-12-31",-0.0784518901404482,"NAA",12,"SE Suisun",72.953606,2.63581311613383
"1921-12-31",-0.0784518901404482,"NAA",12,"Suisun Marsh",72.953606,2.88480611731013
"1921-12-31",-0.0784518901404482,"NAA",12,"SW Suisun",72.953606,3.83697398471392
"1921-12-31",0.0118851298043582,"D1641",12,"Confluence",73.953606,1.83222491295761
"1921-12-31",0.0118851298043582,"D1641",12,"NE Suisun",73.953606,2.87308887257522
"1921-12-31",0.0118851298043582,"D1641",12,"NW Suisun",73.953606,3.46481736338294
"1921-12-31",0.0118851298043582,"D1641",12,"SE Suisun",73.953606,2.75900864296688
"1921-12-31",0.0118851298043582,"D1641",12,"Suisun Marsh",73.953606,2.96146008671105
"1921-12-31",0.0118851298043582,"D1641",12,"SW Suisun",73.953606,3.92442134931785
"1922-01-31",-0.702069658356153,"NAA",1,"Confluence",66.05037,0.1
"1922-01-31",-0.702069658356153,"NAA",1,"NE Suisun",66.05037,0.1
"1922-01-31",-0.702069658356153,"NAA",1,"NW Suisun",66.05037,0.392567655149975
"1922-01-31",-0.702069658356153,"NAA",1,"SE Suisun",66.05037,0.1
"1922-01-31",-0.702069658356153,"NAA",1,"Suisun Marsh",66.05037,0.181042524551728
"1922-01-31",-0.702069658356153,"NAA",1,"SW Suisun",66.05037,1.05870103762787
"1922-01-31",-0.611732638411346,"D1641",1,"Confluence",67.05037,0.1
"1922-01-31",-0.611732638411346,"D1641",1,"NE Suisun",67.05037,0.1
