"Year","Date","Station","Survey","SurveyRep","SurveyCode","Index","TimeStart","DWRStationNo","TowDuration","Region","Depth","ECSurfacePreTow","ECBottomPreTow","Temperature","Secchi","Chl_a","MeterDiff","Volume","ACARTELA","ACARTIA","DIAPTOM","EURYTEM","OTHCALAD","PDIAPFOR","PDIAPMAR","SINOCAL","TORTANUS","ALLCALADULTS","AVERNAL","LIMNOSPP","LIMNOSINE","LIMNOTET","OITHDAV","OITHSIM","OITHSPP","OTHCYCAD","ALLCYCADULTS","HARPACT","CALJUV","EURYJUV","OTHCALJUV","PDIAPJUV","SINOCALJUV","ASINEJUV","ACARJUV","DIAPTJUV","TORTJUV","ALLCALJUV","CYCJUV","LIMNOJUV","OITHJUV","OTHCYCJUV","ALLCYCJUV","COPNAUP","EURYNAUP","OTHCOPNAUP","PDIAPNAUP","SINONAUP","ALLCOPNAUP","BOSMINA","DAPHNIA","DIAPHAN","OTHCLADO","ALLCLADOCERA","ASPLANCH","KERATELA","OTHROT","POLYARTH","SYNCH","SYNCHBIC","TRICHO","BARNNAUP","CRABZOEA","TowDuration.y","Depth.y","ECSurfacePreTow.y","ECBottomPreTow.y","Temperature.y","Secchi.y","Chl_a.y","Acanthomysis.aspera","Acanthomysis.hwanhaiensis","Alienacanthomysis.macropsis","Deltamysis.holmquistae","Hyperacanthomysis.longirostris","Neomysis.kadiakensis","Neomysis.mercedis","Unidentified.mysid","Month","Lat","Lon","NJ_BPUV","JA_BPUV","JAC_BPUV","NJAC_BPUV","AC_BPUV","M_BPUV","JACM_BPUV","NJACM_BPUV","ACM_BPUV"
1974,1974-03-13,"NZ080",3,1,19740301,1,NA,NA,10,"South",NA,147,NA,10.3,29,NA,1661,7.710386121,NA,0,25.9,0,0,NA,NA,NA,NA,25.9,196.1,NA,NA,NA,NA,NA,NA,108.9,305,19.5,38.9,NA,NA,NA,NA,NA,NA,NA,NA,38.9,1372.7,NA,NA,NA,1372.7,8.4,NA,NA,NA,NA,8.4,77.8,155.6,0,51.9,285.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,147,NA,10.3,29,NA,NA,NA,NA,NA,NA,NA,2.43,NA,"March",38.07333333,-121.6766667,47.3,235,520.3,528.7,481.4,2.43,522.73,531.13,483.83
1974,1974-03-13,"NZ086",3,1,19740301,1,NA,"D26",10,"South",NA,138,NA,10.1,27,NA,1869,8.675925142,NA,0,34.6,0,0,NA,NA,NA,NA,34.6,813.3,NA,NA,NA,NA,NA,NA,58.1,871.4,0,25.9,NA,NA,NA,NA,NA,NA,NA,NA,25.9,2338.2,NA,NA,NA,2338.2,5.2,NA,NA,NA,NA,5.2,114.1,103.7,0,77.8,295.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,138,NA,10.1,27,NA,NA,NA,NA,NA,NA,NA,9.37,NA,"March",38.07777778,-121.5702778,31.1,839.2,1134.8,1140,1108.9,9.37,1144.17,1149.37,1118.27
1974,1974-03-13,"NZ092",3,1,19740301,1,NA,"P8",10,"South",NA,317,NA,12.2,42,NA,1868,8.671283127,NA,0,0,0,0,NA,NA,NA,NA,0,1937.4,NA,NA,NA,NA,NA,NA,0,1937.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,4068.6,NA,NA,NA,4068.6,80.7,NA,NA,NA,NA,80.7,346,691.9,0,173,1210.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,317,NA,12.2,42,NA,NA,NA,NA,NA,NA,NA,0.6,NA,"March",37.97833333,-121.3819444,80.7,1937.4,3148.3,3229,3148.3,0.6,3148.9,3229.6,3148.9
1974,1974-03-13,"NZM10",3,1,19740301,1,NA,"MD10A",10,"South",NA,333,NA,11.1,29,NA,1673,7.766090295,NA,0,0,0,0,NA,NA,NA,NA,0,1730.6,NA,NA,NA,NA,NA,NA,0,1730.6,0,386.3,NA,NA,NA,NA,NA,NA,NA,NA,386.3,7355.1,NA,NA,NA,7355.1,51.5,NA,NA,NA,NA,51.5,1081.6,1030.1,0,0,2111.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,333,NA,11.1,29,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"March",38.04361111,-121.4263889,437.8,2116.9,4228.6,4280.1,3842.3,0.15,4228.75,4280.25,3842.45
1974,1974-03-14,"NZ064",3,1,19740301,1,NA,"D22",10,"North",NA,184,NA,10.6,26,NA,1582,7.343666974,NA,0,27.2,0,0,NA,NA,NA,NA,27.2,228.8,NA,NA,NA,NA,NA,NA,0,228.8,0,10.2,NA,NA,NA,NA,NA,NA,NA,NA,10.2,720.6,NA,NA,NA,720.6,8.2,NA,NA,NA,NA,8.2,36.8,81.7,0,108.9,227.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,184,NA,10.6,26,NA,NA,NA,NA,NA,NA,NA,0.03,NA,"March",38.08472222,-121.7380556,18.4,239,466.4,474.6,456.2,0.03,466.43,474.63,456.23
1974,1974-03-15,"NZ028",3,1,19740301,1,NA,"D7",10,"West",NA,183,NA,11.6,26,NA,1732,8.039969152,NA,0,0,57.2,0,NA,NA,NA,NA,57.2,62.7,NA,NA,NA,NA,NA,NA,0,62.7,298.5,84,NA,NA,NA,NA,NA,NA,NA,NA,84,1128.4,NA,NA,NA,1128.4,31.7,NA,NA,NA,NA,31.7,11.2,0,0,93.3,104.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,183,NA,11.6,26,NA,NA,NA,NA,NA,NA,NA,1.15,NA,"March",38.11722222,-122.0472222,115.7,203.9,308.4,340.1,224.4,1.15,309.55,341.25,225.55
1974,1974-03-15,"NZ032",3,1,19740301,1,NA,"NZ032",10,"West",NA,901,NA,12.8,25,NA,1843,8.555232764,NA,0,0,3012.3,0,NA,NA,NA,NA,3012.3,628.4,NA,NA,NA,NA,NA,NA,549.8,1178.2,514.3,2279.3,NA,NA,NA,NA,NA,NA,NA,NA,2279.3,2277.9,NA,NA,NA,2277.9,63.1,NA,NA,NA,NA,63.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,901,NA,12.8,25,NA,NA,NA,NA,NA,NA,NA,11.25,NA,"March",38.17027778,-122.0208333,2342.4,5920,5920,5983.1,3640.7,11.25,5931.25,5994.35,3651.95
1974,1974-03-15,"NZ074",3,1,19740301,1,NA,"D12",10,"West",NA,156,NA,11.6,29,NA,1788,8.299921965,NA,0,0,24.6,0,NA,NA,NA,NA,24.6,134.9,NA,NA,NA,NA,NA,NA,108,242.9,8,96.4,NA,NA,NA,NA,NA,NA,NA,NA,96.4,1902.7,NA,NA,NA,1902.7,113.3,NA,NA,NA,NA,113.3,96.4,32.1,0,24.1,152.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,156,NA,11.6,29,NA,NA,NA,NA,NA,NA,NA,3.43,NA,"March",38.02222222,-121.8036111,209.7,255.9,408.5,521.8,312.1,3.43,411.93,525.23,315.53
1974,1974-03-15,"NZS42",3,1,19740301,1,NA,"NZS42",10,"West",NA,1674,NA,10.7,22,NA,1902,8.829111621,NA,0,0,2658.3,0,NA,NA,NA,NA,2658.3,2911.3,NA,NA,NA,NA,NA,NA,513.8,3425,2242.6,1299.7,NA,NA,NA,NA,NA,NA,NA,NA,1299.7,7192.6,NA,NA,NA,7192.6,107,NA,NA,NA,NA,107,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1674,NA,10.7,22,NA,NA,NA,NA,NA,NA,NA,8.93,NA,"March",38.18055556,-122.0472222,1406.7,6869.3,6869.3,6976.3,5569.6,8.93,6878.23,6985.23,5578.53
1974,1974-03-18,"NZ042",3,1,19740301,1,NA,NA,10,"Far West",NA,1696,NA,12.2,28,NA,1644,7.631471874,NA,0,0,65127.1,0,NA,NA,NA,NA,65127.1,792.5,NA,NA,NA,NA,NA,NA,0,792.5,707.6,18043.7,NA,NA,NA,NA,NA,NA,NA,NA,18043.7,792.5,NA,NA,NA,792.5,2122.8,NA,NA,NA,NA,2122.8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1696,NA,12.2,28,NA,NA,NA,NA,NA,NA,NA,24.19,NA,"March",38.04916667,-122.0922222,20166.5,83963.3,83963.3,86086.1,65919.6,24.19,83987.49,86110.29,65943.79
