"Year","Month","Region","NJ_BPUV","JA_BPUV","JAC_BPUV","NJAC_BPUV","M_BPUV","JACM_BPUV","NJACM_BPUV","ACM_BPUV"
1974,"January","Far West",NA,NA,NA,NA,NA,NA,NA,NA
1974,"February","Far West",NA,NA,NA,NA,NA,NA,NA,NA
1974,"March","Far West",20166.5,83963.3,83963.3,86086.1,24.19,83987.49,86110.29,65943.79
1974,"April","Far West",213.1,761.1,1506,1509.05,4.365,1510.365,1513.415,1300.315
1974,"May","Far West",19385.4,51868,53672.05,54027.75,42.595,53714.645,54070.345,34684.945
1974,"June","Far West",2763.8,4523.45,4523.45,4565.7,8.53,4531.98,4574.23,1810.43
1974,"July","Far West",815.8,1270.05,1270.05,1348.05,3.795,1273.845,1351.845,536.045
1974,"August","Far West",4034.35,10032.15,10032.15,10206.65,2.19,10034.34,10208.84,6174.49
1974,"September","Far West",1456.7,11949.9,11949.9,12030.2,7.22,11957.12,12037.42,10580.72
1974,"October","Far West",1727.45,7193.25,7193.25,7287.8,16.52,7209.77,7304.32,5576.87
1974,"November","Far West",3454.2,3448.7,3448.7,3454.2,1.73,3450.43,3455.93,1.73
1974,"December","Far West",4670.78,9370.69,9370.69,9389.74,5.449,9376.139,9395.189,4724.409
1975,"January","Far West",5887.36,15292.68,15292.68,15325.28,9.168,15301.848,15334.448,9447.088
1975,"February","Far West",7103.94,21214.67,21214.67,21260.82,12.887,21227.557,21273.707,14169.767
1975,"March","Far West",8320.52,27136.66,27136.66,27196.36,16.606,27153.266,27212.966,18892.446
1975,"April","Far West",9537.1,33058.65,33058.65,33131.9,20.325,33078.975,33152.225,23615.125
1975,"May","Far West",2301.45,4278.95,4278.95,4352.5,21.72,4300.67,4374.22,2072.77
1975,"June","Far West",5820.9,10975.15,10975.15,10999.65,54.73,11029.88,11054.38,5233.48
1975,"July","Far West",15769.15,34509,34567.65,34599.85,48.75,34616.4,34648.6,18879.45
1975,"August","Far West",639.9,3097.35,3097.35,3133,2.61,3099.96,3135.61,2495.71
1975,"September","Far West",1384.55,5240.9,5288.85,5331.85,2.565,5291.415,5334.415,3949.865
1975,"October","Far West",478.95,823.45,827.75,871.9,1.2,828.95,873.1,394.15
1975,"November","Far West",2022.7,2191.3,2191.3,2191.3,2.08,2193.38,2193.38,170.68
1975,"December","Far West",1673.4,1798.55,1798.55,1799.85,1.77,1800.32,1801.62,128.22
1976,"January","Far West",1324.1,1405.8,1405.8,1408.4,1.46,1407.26,1409.86,85.76
1976,"February","Far West",974.8,1013.05,1013.05,1016.95,1.15,1014.2,1018.1,43.3
1976,"March","Far West",625.5,620.3,620.3,625.5,0.84,621.14,626.34,0.84
1976,"April","Far West",1710,1697.25,1697.25,1710,0.65,1697.9,1710.65,0.65
1976,"May","Far West",2376.15,2406.25,2406.25,2415.15,2.505,2408.755,2417.655,41.505
1976,"June","Far West",1948.85,2011.35,2011.35,2015.5,2,2013.35,2017.5,68.65
1976,"July","Far West",4457.3,4552.6,4552.6,4566,0.085,4552.685,4566.085,108.785
